ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type
36812557,3000 US HIGHWAY 25E  MIDDLESBORO KY 40965,Gas 240,36.643559,-83.700318,75,,,Normal Geofence
36812558,5085 BUFFALO CREEK RD  ELM CREEK NE 68836,Gas 901,40.692386,-99.382052,75,,,Normal Geofence
36812559,9911 AVALON ROAD NW  ALBUQUERQUE NM 87105,Gas 689,35.079932,-106.745948,75,,,Normal Geofence
36812560,1240 Matzinger Rd  Toledo OH 43612,Welch Toledo,41.707871,-83.51707,75,,,Normal Geofence
36812561,E County Road 400 S  Whitestown IN 46052,Kenco - Whitestown,40.22925,-86.337082,75,,,Normal Geofence
36812562,29636 STATE HWY 59  LOXLEY AL 36551,Gas 84400,30.655233,-87.760326,75,,,Normal Geofence
36812563,650 W FRONT STREET  BATTLE MOUNTAIN NV 89820,Gas 966,40.648327,-116.943525,75,,,Normal Geofence
36812564,125 enterprise pkwy  West Jefferson OH 43162,DSC WEST JEFFERSON,39.948917,-83.326164,75,,,Normal Geofence
36812565,2173 Beverly Ave SW  Wyoming MI 49519,Caraustar,42.925312,-85.709856,75,,,Normal Geofence
36812566,1 Recycle Way  Somerset KY 42503,Somerset Recycle,40.395824,-79.442435,75,,,Normal Geofence
36812567,95 68TH AVENUE SOUTH  COOPERSVILLE MI 49404,Gas 86278,43.058008,-85.957517,75,,,Normal Geofence
36812568,1401 RIPLEY STREET  LAKE STATION IN 46405,Gas 650,41.587127,-87.236001,75,,,Normal Geofence
36812569,3006 BUTTERFIELD TRL  GILA BEND AZ 85337,Gas 1243,32.929681,-112.673258,75,,,Normal Geofence
36812570,5540 MURFREESBORO RD  LAVERGNE TN 37086,Gas 87105,36.010004,-86.544328,75,,,Normal Geofence
36812571,3002 US 57  EAGLE PASS TX 78852,Gas 894,28.709762,-100.46364,75,,,Normal Geofence
36812572,4009 S High School Rd  Indianapolis IN 46241,Cra-Wal,39.705269,-86.267009,75,,,Normal Geofence
36812573,1420 Industrial Dr  Mishawaka IN 46544,Jamil,41.648025,-86.163174,75,,,Normal Geofence
36812574,470 Sauk River Dr  Coldwater MI 49036,Penske,41.933308,-84.978417,75,,,Normal Geofence
36812575,715 S. GRANDVIEW AVENUE  ODESSA TX 79761,Gas 8625,31.845201,-102.340638,75,,,Normal Geofence
36812576,16600 WEST SOUTH AVENUE  TONKAWA OK 74653,Gas 1004,36.696183,-97.34925,75,,,Normal Geofence
36812577,1395 135th Ave  Hersey MI 49639,IMC Salt,43.834407,-85.354134,75,,,Normal Geofence
36812578,1623 OLIVER ROAD  NEW MILFORD PA 18834,Gas 710,41.824288,-75.682376,75,,,Normal Geofence
36812579,8035 PERRY HIGHWAY  ERIE PA 16509,Gas 311,42.069498,-80.038996,75,,,Normal Geofence
36812580,20404 TAFT HWY  BAKERSFIELD CA 93311,Gas 1260,35.268351,-119.229536,75,,,Normal Geofence
36812581,2275 American Blvd  De Pere WI 54115,GREEN BAY PKG,44.405918,-88.114799,75,,,Normal Geofence
36812582,6050 PLAZA DRIVE  FORT MYERS FL 33905,Gas 352,26.655222,-81.801085,75,,,Normal Geofence
36812583,825 CANANDAIGUA ROAD  GENEVA NY 14456,Gas 89966,42.856478,-77.014524,75,,,Normal Geofence
36812584,Comstock Township MI 49001,Wagner Logistics,42.259363,-85.571501,75,,,Normal Geofence
36812585,882 GEORGIA HIGHWAY 100  TALLAPOOSA GA 30176,Gas 312,33.682691,-85.26326,75,,,Normal Geofence
36812586,4565 POPLAR LEVEL ROAD  LOUISVILLE KY 40213,Gas 85457,38.183574,-85.698776,75,,,Normal Geofence
36812587,891 ADDISON RD  PAINTED POST NY 14870,Gas 89932,42.109983,-77.155529,75,,,Normal Geofence
36812588,2929 SCOTTSVILLE ROAD  FRANKLIN KY 42134,Gas 46,36.716302,-86.525923,75,,,Normal Geofence
36812589,6605 N. INDIAN CANYON DRI VE PO BOX 581236 NORTH PALM SPRINGS CA 92262,Gas 307,33.903066,-116.546174,75,,,Normal Geofence
36812590,140 RACEHORSE DR.  ALORTON IL 62207,Gas 642,38.575891,-90.098335,75,,,Normal Geofence
36812591,619 S 5th St  Elkhart IN 46516,Recycling Works,41.679132,-85.976189,75,,,Normal Geofence
36812592,209 Republic St  Norwalk OH 44857,Americraft Norwalk,41.264697,-82.607343,75,,,Normal Geofence
36812593,620 W MILL ROAD  ARTESIA NM 88210,Gas 8603,32.871996,-104.401328,75,,,Normal Geofence
